姓,せい,名,めい,性別,年齢,政党,推薦・支持,新旧,当選回数,略歴,選挙区,定員,政党_世論,地方議席数_割合
大内,おおうち,一也,かずや,1,45,国民,立憲 / 共産 / 社民,新,0,党県副代表〈元〉人材育成会社長・ＮＴＴ西日本社員▽山口大,山口,1,1.6,2.12765957446808
石川,いしかわ,新一郎,しんいちろう,1,65,諸派,,新,0,Ｎ国党員・企業再生コンサルタント〈元〉富士見市議▽産業能率短大,徳島・高知,1,0,0
高野,たかの,光二郎,こうじろう,1,44,自民,公明,現,1,農水政務官・高知県舗装協会顧問〈元〉高知県議・衆院議員秘書▽東京農大,徳島・高知,1,33.4,53.947
松本,まつもと,顕治,けんじ,1,35,無所属,,新,0,共産党高知県常任委員〈元〉党地区宣伝部長・保険代理店社員▽高知大,徳島・高知,1,0,25
野村,のむら,秀邦,ひでくに,1,69,無所属,,新,0,作家〈元〉医療機器販売会社長・日本ハム社員・大塚食品社員▽日大,徳島・高知,1,0,25
尾田,おだ,美和子,みわこ,0,46,無所属,立憲 / 国民 / 社民,新,0,伝統工芸品企画業〈元〉大学職員・旅行会社員・保険会社員▽香川大院,香川,1,0,9.75609756097561
三宅,みやけ,伸吾,しんご,1,57,自民,公明,現,1,参院外交防衛委員会理事〈元〉日本経済新聞編集委員▽東大院,香川,1,33.4,65.8536585365854
田中,たなか,邦明,くにあき,1,46,諸派,0,新,0,Ｎ国党員,香川,1,0,0
らく,らくさぶろう,さぶろう,,1,54,自民,公明,新,0,ローカルタレント〈元〉芸能会社長▽愛媛大中退,愛媛,1,33.4,31.9148936170213
永江,ながえ,孝子,たかこ,0,59,無所属,0,新,0,〈元〉衆院議員・南海放送アナウンサー▽神戸大,愛媛,1,0,55.3191489361702
椋本,むくもと,薫,かおる,1,45,諸派,0,新,0,Ｎ国党員・化学品卸業▽関学大,愛媛,1,0,0
春田,はるた,久美子,くみこ,0,52,国民,0,新,0,弁護士〈元〉九大客員教授・裁判官・住宅金融公庫職員▽九大,福岡,3,1.6,13.953488372093
川口,かわぐち,尚宏,なおひろ,1,50,諸派,0,新,0,Ｎ国党員〈元〉派遣社員▽埼玉県大井高,福岡,3,0,0
浜武,はまたけ,振一,しんいち,1,53,諸派,0,新,0,オリーブの木副代表・学習塾経営〈元〉筑紫野市議▽久留米大,福岡,3,0,0
本藤,ほんどう,昭子,あきこ,0,77,諸派,0,新,0,内装会社役員・安楽死党九州地区代表〈元〉農業,福岡,3,0,0
江夏,えなつ,正敏,まさとし,1,51,諸派,0,新,0,幸福実現党政調会長・ＨＳ政経塾顧問〈元〉不動産会社員▽阪大中退,福岡,3,0,0
河野,かわの,祥子,しょうこ,0,39,共産,0,新,0,党県委員〈元〉直方市議・党県青年学生部員▽九大専門職院,福岡,3,2.9,2.32558139534884
下野,しもの,六太,ろくた,1,55,公明,自民,新,0,党教育改革推進本部事務局次長〈元〉中学校教諭▽福岡教大院,福岡,3,4.8,11.6279069767442
野田,のだ,国義,くによし,1,61,立憲,社民,現,1,党県代表代行〈元〉衆院議員・八女市長・衆院議員秘書▽日大,福岡,3,6,5.81395348837209
松山,まつやま,政司,まさじ,1,60,自民,0,現,3,〈元〉１億総活躍相・党参院国対委員長・日本青年会議所会頭▽明大,福岡,3,33.4,46.5116279069767
山下,やました,雄平,ゆうへい,1,39,自民,公明,現,1,参院予算委理事〈元〉内閣府政務官・日本経済新聞記者▽慶大,佐賀,1,33.4,65.7894736842105
犬塚,いぬづか,直史,ただし,1,64,国民,立憲 / 社民,元,1,観光コンサルタント会社長・党県副代表▽米ダラス大院,佐賀,1,1.6,7.89473684210526
古賀,こが,友一郎,ゆういちろう,1,51,自民,公明,現,1,総務政務官〈元〉長崎市副市長・総務省高齢対策室長▽東大,長崎,1,33.4,60.8695652173913
白川,しらかわ,鮎美,あゆみ,0,39,国民,立憲 / 社民,新,0,人材育成会社長・党県副代表〈元〉がん啓発ＮＰＯ理事▽佐世保高専,長崎,1,1.6,10.8695652173913
神谷,かみや,幸太郎,こうたろう,1,43,諸派,0,新,0,Ｎ国党員〈元〉タクシー運転手▽愛知県碧南工高,長崎,1,0,0
馬場,ばば,成志,せいし,1,54,自民,公明,現,1,党副幹事長〈元〉厚労政務官・県議長・熊本市議▽熊本工高,熊本,1,33.4,64.5833333333333
阿部,あべ,広美,ひろみ,0,52,無所属,共産 / 社民,新,0,弁護士・日本弁護士連合会貧困問題対策本部委員〈元〉太陽生命社員▽九大,熊本,1,0,27.0833333333333
最勝寺,さいしょうじ,辰也,しんや,1,38,諸派,0,新,0,建築内装業・Ｎ国党員〈元〉ネットショップ店長▽読売九州理工専門学校,熊本,1,0,0
礒崎,いそざき,陽輔,ようすけ,1,61,自民,公明,現,2,〈元〉農水副大臣・首相補佐官・総務省大臣官房参事官▽東大,大分,1,33.4,37.2093023255814
安達,あだち,澄,きよし,1,49,無所属,立憲 / 国民 / 社民,新,0,観光会社長〈元〉朝日新聞社員・新日鉄社員▽上智大,大分,1,0,44.1860465116279
牧原,まきはら,慶一郎,けいいちろう,1,41,諸派,0,新,0,Ｎ国党員〈元〉すかいらーく社員▽大阪学院大,大分,1,0,0
長峯,ながみね,誠,まこと,1,49,自民,公明,現,1,〈元〉財務政務官・都城市長・県議・参院議員秘書▽早大,宮崎,1,33.4,61.5384615384615
河野,こうの,一郎,いちろう,1,59,諸派,0,新,0,幸福実現党員・幸福の科学宮崎巡回支部長〈元〉養護学校教諭▽宮崎大,宮崎,1,0,0
園生,そのう,裕造,ゆうぞう,1,41,立憲,国民 / 社民,新,0,税理士〈元〉監査法人職員▽同志社大,宮崎,1,6,2.56410256410256
前田,まえだ,終止,しゅうじ,1,71,無所属,0,新,0,〈元〉霧島市長・牧園町長・県議・衆院議員秘書▽亜細亜大,鹿児島,1,0,21.5686274509804
合原,ごうはら,千尋,ちひろ,0,39,無所属,国民,新,0,行政書士・国民民主党県常任幹事〈元〉学習塾講師▽九大,鹿児島,1,0,21.5686274509804
尾辻,おつじ,秀久,ひでひさ,1,78,自民,公明,現,5,日本遺族会名誉顧問〈元〉参院副議長・厚労相・財務副大臣▽東大中退,鹿児島,1,33.4,66.6666666666667
安里,あさと,繁信,しげのぶ,1,49,自民,公明,新,0,〈元〉物流広告企業会長・日本青年会議所会頭・県教育委員▽早大専門職院,沖縄,1,33.4,29.1666666666667
高良,たから,鉄美,てつみ,0,65,無所属,0,新,0,琉球大名誉教授〈元〉琉球大法科大学院長・琉球大教授▽九大院,沖縄,1,0,2.08333333333333
玉利,たまり,朝輝,ともてる,1,60,無所属,0,新,0,辺野古商工社交業組合理事・食品販売業・飲食業▽大阪商大,沖縄,1,0,2.08333333333333
磯山,いそやま,秀夫,ひでお,1,72,諸派,0,新,0,Ｎ国党員・特別養護老人ホーム非常勤職員〈元〉丸紅社員▽早大,沖縄,1,0,0
