名,姓,年度,年齢,当選,当選回数,推薦・支持,政党,新旧,略歴,選挙区,選挙方法,得票数,得票数(割合),東京からの距離,政党_世論,定員,推薦政党_世論,地方議席数_割合
博崇,石川,2016,42,1,1,,公明,現,党府代表代行〈元〉防衛政務官・外務省職員▽創価大,大阪,選挙区,679378,18.21,395.9,4.7,4,0.0,17.045454545454543
結,渡部,2016,35,0,0,生活,共産,新,党府委員・党府青年学生委員会責任者〈元〉党地区副委員長▽大阪外大,大阪,選挙区,454502,12.18,395.9,3.2,4,0.0,3.4090909090909087
源幸,尾立,2016,52,0,1,生活,民進,現,公認会計士・税理士・党府代表〈元〉財務政務官・医大非常勤講師▽慶大,大阪,選挙区,347753,9.32,395.9,7.6,4,0.0,1.1363636363636365
秀雄,古川,2016,38,0,0,,こころ,新,参院議員秘書〈元〉航空関連会社員▽日南学園高,大阪,選挙区,37913,1.02,395.9,0.2,4,0.0,0.0
明美,佐野,2016,45,0,0,,諸派,新,支持政党なし府代表・情報通信会社副社長▽熊本市医師会看護専門学校,大阪,選挙区,36646,0.98,395.9,0.0,4,0.0,0.0
圭吾,数森,2016,36,0,0,,諸派,新,幸福実現党府副代表〈元〉ＪＦＥ商事社員▽早大,大阪,選挙区,16532,0.44,395.9,0.0,4,0.0,0.0
信介,末松,2016,60,1,2,,自民,現,党幹事長代理〈元〉党県会長・財務政務官・県議・全日空社員▽関学大,兵庫,選挙区,641910,26.33,425.2,38.1,3,0.0,28.735632183908045
孝江,伊藤,2016,48,1,0,自民,公明,新,弁護士・党女性局次長・税理士〈元〉建築問題研究会理事長▽関西大,兵庫,選挙区,542090,22.24,425.2,4.7,3,38.1,13.793103448275861
大介,片山,2016,49,1,0,,お維新,新,維新政治塾生〈元〉ＮＨＫ記者▽慶大,兵庫,選挙区,531165,21.79,425.2,1.2,3,0.0,10.344827586206897
俊一,水岡,2016,60,0,1,,民進,現,党県代表〈元〉民主党幹事長代理・兵教組書記次長・中学教諭▽奈良教大,兵庫,選挙区,420068,17.23,425.2,7.6,3,0.0,5.747126436781609
峰生,金田,2016,50,0,0,,共産,新,党県常任委員〈元〉参院議員秘書・県議▽日本福祉大,兵庫,選挙区,228811,9.39,425.2,3.2,3,0.0,5.747126436781609
侑子,湊,2016,33,0,0,,諸派,新,幸福実現党県副代表・製材所役員〈元〉党和歌山県副代表▽関学大,兵庫,選挙区,49913,2.05,425.2,0.0,3,0.0,0.0
淳の介,下家,2016,44,0,0,,こころ,新,建設会社長〈元〉飲料水販売社長・美容院経営・雑誌企画会社長▽早大中退,兵庫,選挙区,23954,0.98,425.2,0.2,3,0.0,0.0
啓,佐藤,2016,37,1,0,公明,自民,新,〈元〉総務省職員・茨城県常陸太田市総務部長▽東大,奈良,選挙区,292440,45.55,368.7,38.1,1,4.7,40.909090909090914
清成,前川,2016,53,0,1,共産 / 社民 / 生活,民進,現,弁護士・党憲法調査会事務局長・党県代表〈元〉内閣府副大臣▽関西大,奈良,選挙区,216361,33.7,368.7,7.6,1,0.0,9.090909090909092
忠男,吉野,2016,57,0,0,,お維新,新,大阪経大教授・税理士〈元〉たくぎん総合研究所社員▽北大院,奈良,選挙区,119994,18.69,368.7,1.2,1,0.0,11.363636363636363
孝子,田中,2016,60,0,0,,諸派,新,幸福実現党県副代表・幸福の科学支部長〈元〉ハローワーク相談員▽早大,奈良,選挙区,13293,2.07,368.7,0.0,1,0.0,0.0
庸介,鶴保,2016,49,1,3,公明,自民,現,〈元〉国交副大臣・参院議運委員長・参院厚労委員長・衆院議員秘書▽東大,和歌山,選挙区,306361,69.18,443.9,38.1,1,4.7,66.66666666666666
登信,由良,2016,64,0,0,共産 / 社民 / 生活,無所属,新,弁護士〈元〉和歌山弁護士会長・日弁連常務理事▽中大,和歌山,選挙区,115397,26.06,443.9,0.0,1,0.0,14.285714285714285
篤,西本,2016,46,0,0,,諸派,新,幸福実現党県副代表〈元〉ビル設備会社員▽追手門学院大,和歌山,選挙区,21064,4.76,443.9,0.0,1,0.0,0.0
紀美,小野田,2016,33,1,0,公明,自民,新,〈元〉東京都北区議・ゲーム制作会社員▽拓殖大,岡山,選挙区,437347,55.56,536.6,38.1,1,4.7,61.81818181818181
健太郎,黒石,2016,32,0,0,共産 / 社民,民進,新,起業家支援会社長・党県副代表〈元〉リクルート社員▽東大,岡山,選挙区,329501,41.86,536.6,7.6,1,0.0,9.090909090909092
雄治,田部,2016,40,0,0,,諸派,新,幸福実現党員・幸福の科学岡山開拓支部長〈元〉キーエンス社員▽京大院,岡山,選挙区,20378,2.59,536.6,0.0,1,0.0,0.0
洋一,宮沢,2016,66,1,1,公明,自民,現,〈元〉経産相・衆院議員・首相秘書官・大蔵省大臣官房企画官▽東大,広島,選挙区,568252,49.76,675.1,38.1,2,4.7,46.875
稔,柳田,2016,61,1,3,社民,民進,現,基幹労連政治顧問〈元〉法相・衆院議員・神戸製鋼所社員▽東大,広島,選挙区,264358,23.15,675.1,7.6,2,0.8,7.8125
香奈,灰岡,2016,33,0,0,,お維新,新,広島修道大同窓会評議員〈元〉山口県和木町議▽広島修道大,広島,選挙区,157858,13.82,675.1,1.2,2,0.0,0.0
篤己,高見,2016,64,0,0,,共産,新,党県常任委員〈元〉民青県副委員長・広島修道大生協職員▽広島大,広島,選挙区,88499,7.75,675.1,3.2,2,0.0,1.5625
啓,中丸,2016,52,0,0,,こころ,新,〈元〉ＩＴコンサルタント会社長・衆院議員▽廿日市高,広島,選挙区,28211,2.47,675.1,0.2,2,0.0,0.0
知子,佐伯,2016,36,0,0,,諸派,新,幸福実現党県副代表〈元〉造船用機器販売会社員・積水ハウス社員▽山口大,広島,選挙区,18218,1.6,675.1,0.0,2,0.0,0.0
憲勲,玉田,2016,58,0,0,,無所属,新,医師・医療法人理事長・介護支援専門員▽佐賀医大,広島,選挙区,16691,1.46,675.1,0.0,2,0.0,34.375
潔,江島,2016,59,1,1,公明,自民,現,国交政務官〈元〉倉敷芸科大客員教授・下関市長・東亜大講師▽東大院,山口,選挙区,394907,64.05,769.0,38.1,1,4.7,61.702127659574465
厚,纐纈,2016,65,0,0,民進 / 共産 / 社民,無所属,新,山口大名誉教授〈元〉山口大副学長・日本政治学会理事▽一橋大院,山口,選挙区,183817,29.81,769.0,0.0,1,0.0,14.893617021276595
美和子,河井,2016,53,0,0,,諸派,新,幸福実現党県副代表〈元〉明治安田生命保険社員▽明星大,山口,選挙区,37865,6.14,769.0,0.0,1,0.0,0.0
仁彦,磯崎,2016,58,1,1,公明,自民,現,参院環境委員長〈元〉党副幹事長・経産政務官・全日空社員▽東大,香川,選挙区,259854,65.14,536.7,38.1,1,4.7,63.41463414634146
健一,田辺,2016,35,0,0,社民 / 生活,共産,新,党県常任委員・党県青年学生対策部長〈元〉民青県委員▽香川大,香川,選挙区,104239,26.13,536.7,3.2,1,0.0,4.878048780487805
利恵,中西,2016,53,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員・建設会社役員▽国土建設学院,香川,選挙区,17563,4.4,536.7,0.0,1,0.0,0.0
俊秀,田中,2016,65,0,0,,無所属,新,〈元〉清掃作業員▽香川大商業短大部,香川,選挙区,17268,4.33,536.7,0.0,1,0.0,12.195121951219512
順三,山本,2016,61,1,2,公明,自民,現,国交副大臣〈元〉国交政務官・県議・川崎製鉄社員▽早大,愛媛,選挙区,326990,49.58,666.1,38.1,1,4.7,51.06382978723404
孝子,永江,2016,56,0,0,民進 / 社民,無所属,新,〈元〉民主党県代表・衆院議員・南海放送アナウンサー▽神戸大,愛媛,選挙区,318561,48.3,666.1,0.0,1,0.0,27.659574468085108
浩二,森田,2016,56,0,0,,諸派,新,幸福実現党県副代表・幸福の科学愛媛上級巡回支部長▽関西大,愛媛,選挙区,14013,2.12,666.1,0.0,1,0.0,0.0
之士,古賀,2016,57,1,0,,民進,新,党県副代表〈元〉福岡放送アナウンサー▽明大,福岡,選挙区,670392,30.67,880.6,7.6,3,0.0,19.767441860465116
敏志,大家,2016,48,1,1,,自民,現,参院財政金融委員長〈元〉財務政務官・県議・参院議員秘書▽北九州大,福岡,選挙区,640473,29.3,880.6,38.1,3,0.0,48.837209302325576
弘美,高瀬,2016,34,1,0,自民,公明,新,党女性局次長・党国際局次長〈元〉外務省職員▽米コロンビア大院,福岡,選挙区,467752,21.4,880.6,4.7,3,38.1,12.790697674418606
雅子,柴田,2016,32,0,0,,共産,新,医療団体職員・党県平和運動部長〈元〉ホテル社員▽福岡大,福岡,選挙区,195629,8.95,880.6,3.2,3,0.0,2.3255813953488373
晋平,森上,2016,32,0,0,,お維新,新,転職支援会社員〈元〉外資系コンサル会社員▽東大,福岡,選挙区,93683,4.29,880.6,1.2,3,0.0,0.0
信昭,竹内,2016,63,0,0,,社民,新,党県副代表〈元〉高校教諭▽熊本大院,福岡,選挙区,55017,2.52,880.6,0.8,3,0.0,0.0
英俊,石井,2016,39,0,0,,こころ,新,ＮＰＯ法人理事長〈元〉経済団体職員・学習塾社員▽九大,福岡,選挙区,30909,1.41,880.6,0.2,3,0.0,0.0
タキ子,船戸,2016,58,0,0,,無所属,新,〈元〉衆院議員秘書・参院議員秘書▽共立女子高,福岡,選挙区,16047,0.73,880.6,0.0,3,0.0,13.953488372093023
和枝,吉冨,2016,57,0,0,,諸派,新,幸福実現党県副代表・子供支援団体地区代表〈元〉小学校教諭▽九州女短大,福岡,選挙区,15743,0.72,880.6,0.0,3,0.0,0.0
資麿,福岡,2016,43,1,1,公明,自民,現,内閣府副大臣〈元〉党県会長・衆院議員・三菱地所社員▽慶大,佐賀,選挙区,251601,65.58,904.0,38.1,1,4.7,65.78947368421053
哲治,中村,2016,44,0,0,社民,民進,元,党県副代表〈元〉生活の党衆院奈良２区支部長・衆院議員▽京大,佐賀,選挙区,119908,31.25,904.0,7.6,1,0.8,5.263157894736842
徹,中島,2016,42,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉建築資材メーカー社員▽福岡大,佐賀,選挙区,12152,3.17,904.0,0.0,1,0.0,0.0
原二郎,金子,2016,72,1,1,公明,自民,現,〈元〉党県会長・知事・衆院議員・県議・水産会社役員▽慶大,長崎,選挙区,336612,52.9,961.7,38.1,1,4.7,56.52173913043478
秀子,西岡,2016,52,0,0,社民 / 生活,民進,新,党県代表代行〈元〉長崎新聞社役員・参院議員秘書・ＮＥＣ社員▽学習院大,長崎,選挙区,285743,44.91,961.7,7.6,1,0.0,10.869565217391305
正敏,江夏,2016,48,0,0,,諸派,新,幸福実現党政調会長〈元〉不動産会社員▽阪大中退,長崎,選挙区,13936,2.19,961.7,0.0,1,0.0,0.0
祥史,松村,2016,52,1,2,公明,自民,現,党副幹事長〈元〉経産政務官・建築資材販売会社長▽専修大,熊本,選挙区,440607,59.14,884.6,38.1,1,4.7,52.083333333333336
広美,阿部,2016,49,0,0,民進 / 共産 / 社民,無所属,新,弁護士・日弁連貧困問題対策本部委員〈元〉太陽生命社員▽九大,熊本,選挙区,269168,36.13,884.6,0.0,1,0.0,33.33333333333333
順子,木下,2016,57,0,0,,諸派,新,幸福実現党県副代表〈元〉小売会社員・電話番号案内会社員▽福岡県三池高,熊本,選挙区,20742,2.78,884.6,0.0,1,0.0,0.0
哲哉,本藤,2016,62,0,0,,諸派,新,支持政党なし県代表・ビルメンテナンス会社員▽菊池高,熊本,選挙区,14493,1.95,884.6,0.0,1,0.0,0.0
信也,足立,2016,59,1,2,,民進,現,党県代表〈元〉厚労政務官・病院診療部長・筑波大助教授▽筑波大,大分,選挙区,271783,48.13,790.2,7.6,1,0.0,4.651162790697675
玄知,古庄,2016,58,0,0,公明,自民,新,弁護士〈元〉県弁護士会長▽早大,大分,選挙区,270693,47.94,790.2,38.1,1,4.7,39.53488372093023
敦子,上田,2016,49,0,0,,諸派,新,幸福実現党県副代表・幸福の科学巡回支部長〈元〉大分銀行員▽同志社女大,大分,選挙区,22153,3.92,790.2,0.0,1,0.0,0.0
新平,松下,2016,49,1,2,公明,自民,現,総務副大臣〈元〉県議・参院議員秘書・県職員▽法大,宮崎,選挙区,282407,62.04,872.3,38.1,1,4.7,56.41025641025641
洋司,読谷山,2016,52,0,0,民進 / 社民,無所属,新,行政書士〈元〉長崎県立大教授・岡山市副市長・内閣府参事官▽東大,宮崎,選挙区,152470,33.49,872.3,0.0,1,0.0,12.82051282051282
一郎,河野,2016,56,0,0,,諸派,新,幸福実現党県副代表・幸福の科学支部長〈元〉養護学校教諭▽宮崎大,宮崎,選挙区,20354,4.47,872.3,0.0,1,0.0,0.0
哲郎,野村,2016,72,1,2,公明,自民,現,党政調会長代理・農協県中央会顧問〈元〉農水政務官▽ラサール高,鹿児島,選挙区,438499,58.96,962.7,38.1,1,4.7,70.58823529411765
和三,下町,2016,56,0,0,民進 / 共産 / 社民,無所属,新,連合鹿児島事務局長〈元〉農水省職員▽鹿児島県立短大,鹿児島,選挙区,216881,29.16,962.7,0.0,1,0.0,21.568627450980394
英明,坂田,2016,45,0,0,,無所属,新,〈元〉富士電機社員▽九大院,鹿児島,選挙区,46096,6.2,962.7,0.0,1,0.0,21.568627450980394
力,松沢,2016,34,0,0,,諸派,新,幸福実現党県副代表〈元〉小売業社員▽鹿児島大,鹿児島,選挙区,42228,5.68,962.7,0.0,1,0.0,0.0
洋一,伊波,2016,64,1,0,,無所属,新,〈元〉宜野湾市長・県議・地区労事務局長・市職労委員長▽琉球大,沖縄,選挙区,356355,57.83,1553.6,0.0,1,0.0,22.916666666666664
安伊子,島尻,2016,51,0,1,公明,自民,現,沖縄北方相〈元〉党女性局長・那覇市議・日本語学校副理事長▽上智大,沖縄,選挙区,249955,40.56,1553.6,38.1,1,4.7,25.0
竜郎,金城,2016,52,0,0,,諸派,新,幸福実現党県副代表・幸福の科学職員〈元〉沖縄気象台職員▽沖縄国際大,沖縄,選挙区,9937,1.61,1553.6,0.0,1,0.0,0.0
